report_row,reference_id,source_group,source_row_id,seed,arm,structure,rho,category,regime,model_view_id,development_participants,development_cfp_macro_f1,development_cfp_macro_precision,development_cfp_macro_recall,development_cfp_accuracy,development_cfp_confusion_matrix,development_cfp_class_support,development_cfp_log_loss,development_cfp_auroc,development_cfp_brier_binary,development_oct_macro_f1,development_oct_macro_precision,development_oct_macro_recall,development_oct_accuracy,development_oct_confusion_matrix,development_oct_class_support,development_oct_log_loss,development_oct_auroc,development_oct_brier_binary,development_fixed_probability_fusion_macro_f1,development_fixed_probability_fusion_macro_precision,development_fixed_probability_fusion_macro_recall,development_fixed_probability_fusion_accuracy,development_fixed_probability_fusion_confusion_matrix,development_fixed_probability_fusion_class_support,development_fixed_probability_fusion_log_loss,development_fixed_probability_fusion_auroc,development_fixed_probability_fusion_brier_binary,development_branch_mean_macro_f1,test_participants,test_cfp_macro_f1,test_cfp_macro_precision,test_cfp_macro_recall,test_cfp_accuracy,test_cfp_confusion_matrix,test_cfp_class_support,test_cfp_log_loss,test_cfp_auroc,test_cfp_brier_binary,test_oct_macro_f1,test_oct_macro_precision,test_oct_macro_recall,test_oct_accuracy,test_oct_confusion_matrix,test_oct_class_support,test_oct_log_loss,test_oct_auroc,test_oct_brier_binary,test_fixed_probability_fusion_macro_f1,test_fixed_probability_fusion_macro_precision,test_fixed_probability_fusion_macro_recall,test_fixed_probability_fusion_accuracy,test_fixed_probability_fusion_confusion_matrix,test_fixed_probability_fusion_class_support,test_fixed_probability_fusion_log_loss,test_fixed_probability_fusion_auroc,test_fixed_probability_fusion_brier_binary,test_branch_mean_macro_f1,backbone_lr,training_stage,parameters,best_epoch,stop_epoch,training_seconds,peak_training_reserved_mib,checkpoint_sha256
R0001,current_direct_and_host:branch_linear_resample_M32_S64_k3_r16_lr3e-05_seed3416,current_direct_and_host,branch_linear_resample_M32_S64_k3_r16_lr3e-05_seed3416,3416,,"{""M"": 32, ""S"": 64, ""cost"": {""components_per_participant"": {""channel_decode"": 7929856, ""channel_encode"": 7929856, ""forward_projection"": 63438848, ""mask_multiply"": 196608.0, ""mixer"": 805306368, ""residual"": 247808, ""return_projection"": 63438848}, ""convention"": ""dense multiply/add=1 each; padded MAC=2; two eyes; mask amortized over batch16; excludes memory/indexing"", ""flops_per_participant"": 948488192.0, ""h"": 512, ""parameters"": 3145728, ""r"": 16, ""rho"": 0.0625}, ""h"": 512, ""id"": ""linear_resample_M32_S64_k3_r16"", ""k"": 3, ""memberships"": [{""budget_h"": 512, ""kind"": ""equal_parameters""}, {""budget_h"": 512, ""kind"": ""equal_compute"", ""role"": ""same_width_ordinary""}], ""mode"": ""linear_resample"", ""r"": 16, ""rho"": 0.0625}",,direct,single_width,03ee85e22ee429b1a48f8fddbac7d3b3111cd2b3ea242b90c6e695047ffe3d63,296,0.668903803131991,0.6689497716894977,0.6689189189189189,0.668918918918919,"[[98, 50], [48, 100]]","[148, 148]",0.9324178618684056,0.7006482834185537,0.26285539630720245,0.6513545347467609,0.6532091097308488,0.652027027027027,0.652027027027027,"[[103, 45], [58, 90]]","[148, 148]",1.1492943787468952,0.6917001460920379,0.28227460370562996,0.7059166124224879,0.7065431251429879,0.7060810810810811,0.706081081081081,"[[108, 40], [47, 101]]","[148, 148]",0.6758155158203725,0.7575785244704165,0.20770928093282298,0.660129168939376,290,0.5927935646627636,0.5933877200515243,0.5931034482758621,0.593103448275862,"[[82, 63], [55, 90]]","[145, 145]",1.1357389172983785,0.626397146254459,0.32058860321392446,0.5575896262395119,0.5591723078400308,0.5586206896551724,0.5586206896551724,"[[88, 57], [71, 74]]","[145, 145]",1.328483632179735,0.6113674197384067,0.3471283098493244,0.6095602340017395,0.6112389719984657,0.6103448275862069,0.6103448275862069,"[[95, 50], [63, 82]]","[145, 145]",0.8285865300269118,0.6409512485136741,0.2711762524564717,0.5751915954511377,3e-05,communication,47484292,0,8,134.09428731698426,7416.0,1a32a41cb3760234cac04beed7f73a44bb21a3af48f9713a929ee7eabf68d865
R0002,current_direct_and_host:branch_linear_resample_M32_S64_k3_r16_lr3e-05_seed3417,current_direct_and_host,branch_linear_resample_M32_S64_k3_r16_lr3e-05_seed3417,3417,,"{""M"": 32, ""S"": 64, ""cost"": {""components_per_participant"": {""channel_decode"": 7929856, ""channel_encode"": 7929856, ""forward_projection"": 63438848, ""mask_multiply"": 196608.0, ""mixer"": 805306368, ""residual"": 247808, ""return_projection"": 63438848}, ""convention"": ""dense multiply/add=1 each; padded MAC=2; two eyes; mask amortized over batch16; excludes memory/indexing"", ""flops_per_participant"": 948488192.0, ""h"": 512, ""parameters"": 3145728, ""r"": 16, ""rho"": 0.0625}, ""h"": 512, ""id"": ""linear_resample_M32_S64_k3_r16"", ""k"": 3, ""memberships"": [{""budget_h"": 512, ""kind"": ""equal_parameters""}, {""budget_h"": 512, ""kind"": ""equal_compute"", ""role"": ""same_width_ordinary""}], ""mode"": ""linear_resample"", ""r"": 16, ""rho"": 0.0625}",,direct,single_width,9caab7c646597ddf42a77b627f9e562f89972cdd465055326fb82cc2359459ad,296,0.6384763774584223,0.6385704498744005,0.6385135135135136,0.6385135135135135,"[[96, 52], [55, 93]]","[148, 148]",1.0895626288614289,0.6638056975894813,0.29553710871228117,0.641875542163174,0.6419178082191781,0.6418918918918919,0.6418918918918919,"[[94, 54], [52, 96]]","[148, 148]",1.7279395690703845,0.6468681519357194,0.3252650593357487,0.6384763774584223,0.6385704498744005,0.6385135135135136,0.6385135135135135,"[[93, 55], [52, 96]]","[148, 148]",0.803161644318559,0.6963568298027757,0.24084937779383492,0.6401759598107981,290,0.5963165221115752,0.5967772692601068,0.596551724137931,0.596551724137931,"[[83, 62], [55, 90]]","[145, 145]",1.0986853433296322,0.6321521997621878,0.31016687518577707,0.586128157556729,0.586272549859584,0.5862068965517242,0.5862068965517241,"[[83, 62], [58, 87]]","[145, 145]",1.806336365935988,0.6223305588585017,0.34847978158161536,0.5827536593776383,0.5827625570776256,0.5827586206896551,0.5827586206896552,"[[84, 61], [60, 85]]","[145, 145]",0.8250064614084274,0.6510344827586207,0.26629216491110247,0.5912223398341521,3e-05,communication,47484292,0,8,256.73810545000015,7416.0,f431a2562ba60cf874d70f5d0b02f3b64d4c738f6708ed2394de65ec58737b08
R0003,current_direct_and_host:branch_linear_resample_M32_S64_k3_r16_lr3e-05_seed3418,current_direct_and_host,branch_linear_resample_M32_S64_k3_r16_lr3e-05_seed3418,3418,,"{""M"": 32, ""S"": 64, ""cost"": {""components_per_participant"": {""channel_decode"": 7929856, ""channel_encode"": 7929856, ""forward_projection"": 63438848, ""mask_multiply"": 196608.0, ""mixer"": 805306368, ""residual"": 247808, ""return_projection"": 63438848}, ""convention"": ""dense multiply/add=1 each; padded MAC=2; two eyes; mask amortized over batch16; excludes memory/indexing"", ""flops_per_participant"": 948488192.0, ""h"": 512, ""parameters"": 3145728, ""r"": 16, ""rho"": 0.0625}, ""h"": 512, ""id"": ""linear_resample_M32_S64_k3_r16"", ""k"": 3, ""memberships"": [{""budget_h"": 512, ""kind"": ""equal_parameters""}, {""budget_h"": 512, ""kind"": ""equal_compute"", ""role"": ""same_width_ordinary""}], ""mode"": ""linear_resample"", ""r"": 16, ""rho"": 0.0625}",,direct,single_width,0664f187c40493708fe08b937d7d300b6ccec628a7e0befe134c55299c1ad6d7,296,0.6587798892883638,0.6587910331918002,0.6587837837837838,0.6587837837837838,"[[98, 50], [51, 97]]","[148, 148]",1.1893489453349242,0.6984112490869248,0.27750285694601773,0.641875542163174,0.6419178082191781,0.6418918918918919,0.6418918918918919,"[[96, 52], [54, 94]]","[148, 148]",1.3959063887945375,0.6615686632578526,0.30768892077363064,0.6855200776832124,0.6865004811437474,0.6858108108108107,0.6858108108108109,"[[106, 42], [51, 97]]","[148, 148]",0.7716415718429044,0.7324689554419285,0.22256635090433152,0.650327715725769,290,0.5783276125095347,0.580056651783571,0.5793103448275863,0.5793103448275863,"[[91, 54], [68, 77]]","[145, 145]",1.3705381663907052,0.623115338882283,0.340555832733601,0.5823563717730513,0.5830786860198625,0.5827586206896551,0.5827586206896552,"[[89, 56], [65, 80]]","[145, 145]",1.436400595916103,0.6250653983353149,0.3391068735222335,0.5924055457620658,0.5937455102724964,0.5931034482758621,0.593103448275862,"[[92, 53], [65, 80]]","[145, 145]",0.8593090860232984,0.642282996432818,0.27610644175073373,0.580341992141293,3e-05,communication,47484292,0,8,132.53331024901127,7416.0,22ba010098fcffc37da6723be0b04bc33fa9eca38aedf1b973d04cd091ebf825
R0004,current_direct_and_host:branch_linear_resample_M32_S64_k3_r16_lr6e-05_seed3416,current_direct_and_host,branch_linear_resample_M32_S64_k3_r16_lr6e-05_seed3416,3416,,"{""M"": 32, ""S"": 64, ""cost"": {""components_per_participant"": {""channel_decode"": 7929856, ""channel_encode"": 7929856, ""forward_projection"": 63438848, ""mask_multiply"": 196608.0, ""mixer"": 805306368, ""residual"": 247808, ""return_projection"": 63438848}, ""convention"": ""dense multiply/add=1 each; padded MAC=2; two eyes; mask amortized over batch16; excludes memory/indexing"", ""flops_per_participant"": 948488192.0, ""h"": 512, ""parameters"": 3145728, ""r"": 16, ""rho"": 0.0625}, ""h"": 512, ""id"": ""linear_resample_M32_S64_k3_r16"", ""k"": 3, ""memberships"": [{""budget_h"": 512, ""kind"": ""equal_parameters""}, {""budget_h"": 512, ""kind"": ""equal_compute"", ""role"": ""same_width_ordinary""}], ""mode"": ""linear_resample"", ""r"": 16, ""rho"": 0.0625}",,direct,single_width,726d1228d98e15947a81e62b1c0ee11b0259aa19ea4e7a6ee154d9f195e9b3b5,296,0.668903803131991,0.6689497716894977,0.6689189189189189,0.668918918918919,"[[98, 50], [48, 100]]","[148, 148]",0.9324178618684056,0.7006482834185537,0.26285539630720245,0.6513545347467609,0.6532091097308488,0.652027027027027,0.652027027027027,"[[103, 45], [58, 90]]","[148, 148]",1.1492943787468952,0.6917001460920379,0.28227460370562996,0.7059166124224879,0.7065431251429879,0.7060810810810811,0.706081081081081,"[[108, 40], [47, 101]]","[148, 148]",0.6758155158203725,0.7575785244704165,0.20770928093282298,0.660129168939376,290,0.5927935646627636,0.5933877200515243,0.5931034482758621,0.593103448275862,"[[82, 63], [55, 90]]","[145, 145]",1.1357389172983785,0.626397146254459,0.32058860321392446,0.5575896262395119,0.5591723078400308,0.5586206896551724,0.5586206896551724,"[[88, 57], [71, 74]]","[145, 145]",1.328483632179735,0.6113674197384067,0.3471283098493244,0.6095602340017395,0.6112389719984657,0.6103448275862069,0.6103448275862069,"[[95, 50], [63, 82]]","[145, 145]",0.8285865300269118,0.6409512485136741,0.2711762524564717,0.5751915954511377,6e-05,communication,47484292,0,8,135.79742953799723,7416.0,4b32f8371ecbb293a034f95bd32c7ba3a53078fc306a38586568bdd4c859f39d
R0005,current_direct_and_host:branch_linear_resample_M32_S64_k3_r16_lr6e-05_seed3417,current_direct_and_host,branch_linear_resample_M32_S64_k3_r16_lr6e-05_seed3417,3417,,"{""M"": 32, ""S"": 64, ""cost"": {""components_per_participant"": {""channel_decode"": 7929856, ""channel_encode"": 7929856, ""forward_projection"": 63438848, ""mask_multiply"": 196608.0, ""mixer"": 805306368, ""residual"": 247808, ""return_projection"": 63438848}, ""convention"": ""dense multiply/add=1 each; padded MAC=2; two eyes; mask amortized over batch16; excludes memory/indexing"", ""flops_per_participant"": 948488192.0, ""h"": 512, ""parameters"": 3145728, ""r"": 16, ""rho"": 0.0625}, ""h"": 512, ""id"": ""linear_resample_M32_S64_k3_r16"", ""k"": 3, ""memberships"": [{""budget_h"": 512, ""kind"": ""equal_parameters""}, {""budget_h"": 512, ""kind"": ""equal_compute"", ""role"": ""same_width_ordinary""}], ""mode"": ""linear_resample"", ""r"": 16, ""rho"": 0.0625}",,direct,single_width,240835677c86725334a1c22d1b068afe38987bbaa73f0c067c3b3f2417fcc556,296,0.6384763774584223,0.6385704498744005,0.6385135135135136,0.6385135135135135,"[[96, 52], [55, 93]]","[148, 148]",1.0895626288614289,0.6638056975894813,0.29553710871228117,0.641875542163174,0.6419178082191781,0.6418918918918919,0.6418918918918919,"[[94, 54], [52, 96]]","[148, 148]",1.7279395690703845,0.6468681519357194,0.3252650593357487,0.6384763774584223,0.6385704498744005,0.6385135135135136,0.6385135135135135,"[[93, 55], [52, 96]]","[148, 148]",0.803161644318559,0.6963568298027757,0.24084937779383492,0.6401759598107981,290,0.5963165221115752,0.5967772692601068,0.596551724137931,0.596551724137931,"[[83, 62], [55, 90]]","[145, 145]",1.0986853433296322,0.6321521997621878,0.31016687518577707,0.586128157556729,0.586272549859584,0.5862068965517242,0.5862068965517241,"[[83, 62], [58, 87]]","[145, 145]",1.806336365935988,0.6223305588585017,0.34847978158161536,0.5827536593776383,0.5827625570776256,0.5827586206896551,0.5827586206896552,"[[84, 61], [60, 85]]","[145, 145]",0.8250064614084274,0.6510344827586207,0.26629216491110247,0.5912223398341521,6e-05,communication,47484292,0,8,223.5190194079987,7416.0,3d51f9d8ee6c92e2d3fe6caee768a153d3d1daeba251977f5520d596e529795e
R0006,current_direct_and_host:branch_linear_resample_M32_S64_k3_r16_lr6e-05_seed3418,current_direct_and_host,branch_linear_resample_M32_S64_k3_r16_lr6e-05_seed3418,3418,,"{""M"": 32, ""S"": 64, ""cost"": {""components_per_participant"": {""channel_decode"": 7929856, ""channel_encode"": 7929856, ""forward_projection"": 63438848, ""mask_multiply"": 196608.0, ""mixer"": 805306368, ""residual"": 247808, ""return_projection"": 63438848}, ""convention"": ""dense multiply/add=1 each; padded MAC=2; two eyes; mask amortized over batch16; excludes memory/indexing"", ""flops_per_participant"": 948488192.0, ""h"": 512, ""parameters"": 3145728, ""r"": 16, ""rho"": 0.0625}, ""h"": 512, ""id"": ""linear_resample_M32_S64_k3_r16"", ""k"": 3, ""memberships"": [{""budget_h"": 512, ""kind"": ""equal_parameters""}, {""budget_h"": 512, ""kind"": ""equal_compute"", ""role"": ""same_width_ordinary""}], ""mode"": ""linear_resample"", ""r"": 16, ""rho"": 0.0625}",,direct,single_width,00c9527887ac3ff192f6c3e9997d847df7ca2f90882171c29d9dafd6a0f5d683,296,0.6683738796414853,0.6700367647058824,0.6689189189189189,0.668918918918919,"[[105, 43], [55, 93]]","[148, 148]",1.516152542169673,0.689508765522279,0.29583735729962224,0.641744690568623,0.6421254801536491,0.6418918918918919,0.6418918918918919,"[[98, 50], [56, 92]]","[148, 148]",1.6219807851673078,0.6765430971512052,0.31241918405314606,0.6923955371315678,0.6929993136582018,0.6925675675675675,0.6925675675675675,"[[106, 42], [49, 99]]","[148, 148]",0.9086577963568088,0.7299579985390796,0.23238001769400463,0.6550592851050542,290,0.6133333333333333,0.614336917562724,0.6137931034482759,0.6137931034482759,"[[94, 51], [61, 84]]","[145, 145]",1.5776341735089834,0.6535552913198572,0.3311043543840012,0.565,0.5658303464755078,0.5655172413793104,0.5655172413793104,"[[87, 58], [68, 77]]","[145, 145]",1.8581025147755459,0.6040428061831153,0.3720144608861025,0.6095602340017395,0.6112389719984657,0.6103448275862069,0.6103448275862069,"[[95, 50], [63, 82]]","[145, 145]",1.010398930002186,0.64294887039239,0.2869794856228767,0.5891666666666666,6e-05,communication,47484292,10,14,227.5985947989975,7416.0,37ce3f51a43355f18024f5d25c45406b4b6726f693ab7e170a4a4f6b3e23708d
R0007,current_direct_and_host:branch_radon_M32_S64_k3_r16_lr3e-05_seed3416,current_direct_and_host,branch_radon_M32_S64_k3_r16_lr3e-05_seed3416,3416,,"{""M"": 32, ""S"": 64, ""cost"": {""components_per_participant"": {""channel_decode"": 7929856, ""channel_encode"": 7929856, ""forward_projection"": 63438848, ""mask_multiply"": 196608.0, ""mixer"": 805306368, ""residual"": 247808, ""return_projection"": 1997952}, ""convention"": ""dense multiply/add=1 each; padded MAC=2; two eyes; mask amortized over batch16; excludes memory/indexing"", ""flops_per_participant"": 887047296.0, ""h"": 512, ""parameters"": 3145728, ""r"": 16, ""rho"": 0.0625}, ""h"": 512, ""id"": ""radon_M32_S64_k3_r16"", ""k"": 3, ""memberships"": [{""budget_h"": 512, ""kind"": ""equal_parameters""}, {""budget_h"": 512, ""kind"": ""equal_compute"", ""role"": ""radon""}], ""mode"": ""radon"", ""r"": 16, ""rho"": 0.0625}",,direct,single_width,7e9881d87fae1f90282bfcffcacf2b6e4e22e38442c7196713566ac1dad965b7,296,0.7060508863446985,0.7061657912765471,0.7060810810810811,0.706081081081081,"[[106, 42], [45, 103]]","[148, 148]",1.1697289516821898,0.7492238860482103,0.2492843018051648,0.6621004566210045,0.6622807017543859,0.6621621621621622,0.6621621621621622,"[[100, 48], [52, 96]]","[148, 148]",1.8101222501951628,0.6799214755295836,0.3061257960304519,0.6721139241951877,0.6726835964310227,0.6722972972972974,0.6722972972972973,"[[96, 52], [45, 103]]","[148, 148]",0.8943102957443866,0.7473064280496713,0.22465975087683657,0.6840756714828515,290,0.602649795665487,0.6042865362485615,0.603448275862069,0.603448275862069,"[[81, 64], [51, 94]]","[145, 145]",1.536688236253531,0.6629726516052319,0.3338691950373123,0.6099691736392958,0.6107715813598167,0.6103448275862069,0.6103448275862069,"[[93, 52], [61, 84]]","[145, 145]",1.8296738916122885,0.662782401902497,0.33420512733962354,0.6619242481918539,0.6623469436371432,0.6620689655172414,0.6620689655172414,"[[99, 46], [52, 93]]","[145, 145]",1.1468773596839206,0.6779072532699167,0.2809306472402517,0.6063094846523914,3e-05,communication,47484292,12,18,508.2576104280015,7474.0,3c0fa7185f5f4f37352222d44b971ee0d83bf512575134c8aae1f3fb1d059667
R0008,current_direct_and_host:branch_radon_M32_S64_k3_r16_lr3e-05_seed3417,current_direct_and_host,branch_radon_M32_S64_k3_r16_lr3e-05_seed3417,3417,,"{""M"": 32, ""S"": 64, ""cost"": {""components_per_participant"": {""channel_decode"": 7929856, ""channel_encode"": 7929856, ""forward_projection"": 63438848, ""mask_multiply"": 196608.0, ""mixer"": 805306368, ""residual"": 247808, ""return_projection"": 1997952}, ""convention"": ""dense multiply/add=1 each; padded MAC=2; two eyes; mask amortized over batch16; excludes memory/indexing"", ""flops_per_participant"": 887047296.0, ""h"": 512, ""parameters"": 3145728, ""r"": 16, ""rho"": 0.0625}, ""h"": 512, ""id"": ""radon_M32_S64_k3_r16"", ""k"": 3, ""memberships"": [{""budget_h"": 512, ""kind"": ""equal_parameters""}, {""budget_h"": 512, ""kind"": ""equal_compute"", ""role"": ""radon""}], ""mode"": ""radon"", ""r"": 16, ""rho"": 0.0625}",,direct,single_width,5c9d2393f9a89573d6ab57b95a23f2dc63d6b8666f46a1f65c58aa1c5be534d2,296,0.6384763774584223,0.6385704498744005,0.6385135135135136,0.6385135135135135,"[[96, 52], [55, 93]]","[148, 148]",1.0895626288614289,0.6638056975894813,0.29553710871228117,0.641875542163174,0.6419178082191781,0.6418918918918919,0.6418918918918919,"[[94, 54], [52, 96]]","[148, 148]",1.7279395690703845,0.6468681519357194,0.3252650593357487,0.6384763774584223,0.6385704498744005,0.6385135135135136,0.6385135135135135,"[[93, 55], [52, 96]]","[148, 148]",0.803161644318559,0.6963568298027757,0.24084937779383492,0.6401759598107981,290,0.5963165221115752,0.5967772692601068,0.596551724137931,0.596551724137931,"[[83, 62], [55, 90]]","[145, 145]",1.0986853433296322,0.6321521997621878,0.31016687518577707,0.586128157556729,0.586272549859584,0.5862068965517242,0.5862068965517241,"[[83, 62], [58, 87]]","[145, 145]",1.806336365935988,0.6223305588585017,0.34847978158161536,0.5827536593776383,0.5827625570776256,0.5827586206896551,0.5827586206896552,"[[84, 61], [60, 85]]","[145, 145]",0.8250064614084274,0.6510344827586207,0.26629216491110247,0.5912223398341521,3e-05,communication,47484292,0,8,240.0827732200014,7474.0,19b3b25dbc4c2643c698953016ba3af5ed0e4c767f2f9df5eb83c73378b18248
R0009,current_direct_and_host:branch_radon_M32_S64_k3_r16_lr3e-05_seed3418,current_direct_and_host,branch_radon_M32_S64_k3_r16_lr3e-05_seed3418,3418,,"{""M"": 32, ""S"": 64, ""cost"": {""components_per_participant"": {""channel_decode"": 7929856, ""channel_encode"": 7929856, ""forward_projection"": 63438848, ""mask_multiply"": 196608.0, ""mixer"": 805306368, ""residual"": 247808, ""return_projection"": 1997952}, ""convention"": ""dense multiply/add=1 each; padded MAC=2; two eyes; mask amortized over batch16; excludes memory/indexing"", ""flops_per_participant"": 887047296.0, ""h"": 512, ""parameters"": 3145728, ""r"": 16, ""rho"": 0.0625}, ""h"": 512, ""id"": ""radon_M32_S64_k3_r16"", ""k"": 3, ""memberships"": [{""budget_h"": 512, ""kind"": ""equal_parameters""}, {""budget_h"": 512, ""kind"": ""equal_compute"", ""role"": ""radon""}], ""mode"": ""radon"", ""r"": 16, ""rho"": 0.0625}",,direct,single_width,658665e06ee6ed4a13da0bcbd0fdaf9db243fcd7432e70f13204cb9db1092109,296,0.6667279411764706,0.6734808702175544,0.6689189189189189,0.668918918918919,"[[87, 61], [37, 111]]","[148, 148]",1.3978894074303831,0.7309623813002191,0.2852134630800302,0.6747252747252748,0.6777531411677753,0.6756756756756757,0.6756756756756757,"[[108, 40], [56, 92]]","[148, 148]",1.8619082026660045,0.6922936449963477,0.29390449145005365,0.6858072247902756,0.6858192941606173,0.6858108108108107,0.6858108108108109,"[[102, 46], [47, 101]]","[148, 148]",0.9619523542788073,0.7436541271000731,0.22628579606423033,0.6707266079508727,290,0.6192226890756303,0.6225786193903676,0.6206896551724138,0.6206896551724138,"[[81, 64], [46, 99]]","[145, 145]",1.5291912428720855,0.6752913198573127,0.31344169416991363,0.6053762414056532,0.6085696343171827,0.6068965517241379,0.6068965517241379,"[[97, 48], [66, 79]]","[145, 145]",2.113914988306359,0.6303448275862069,0.3398190629113678,0.6513883764386628,0.6523109243697479,0.6517241379310346,0.6517241379310345,"[[99, 46], [55, 90]]","[145, 145]",1.0834782945305341,0.6764803804994054,0.26952176003398687,0.6122994652406417,3e-05,communication,47484292,8,14,445.03005105399643,7474.0,d36eb7cb200f608ba56d3f34598a4e4390f382881c0978f342e0533434a9e0a1
R0010,current_direct_and_host:branch_radon_M32_S64_k3_r16_lr6e-05_seed3416,current_direct_and_host,branch_radon_M32_S64_k3_r16_lr6e-05_seed3416,3416,,"{""M"": 32, ""S"": 64, ""cost"": {""components_per_participant"": {""channel_decode"": 7929856, ""channel_encode"": 7929856, ""forward_projection"": 63438848, ""mask_multiply"": 196608.0, ""mixer"": 805306368, ""residual"": 247808, ""return_projection"": 1997952}, ""convention"": ""dense multiply/add=1 each; padded MAC=2; two eyes; mask amortized over batch16; excludes memory/indexing"", ""flops_per_participant"": 887047296.0, ""h"": 512, ""parameters"": 3145728, ""r"": 16, ""rho"": 0.0625}, ""h"": 512, ""id"": ""radon_M32_S64_k3_r16"", ""k"": 3, ""memberships"": [{""budget_h"": 512, ""kind"": ""equal_parameters""}, {""budget_h"": 512, ""kind"": ""equal_compute"", ""role"": ""radon""}], ""mode"": ""radon"", ""r"": 16, ""rho"": 0.0625}",,direct,single_width,1dbc6762e6f18dd4d362fe11ef1f08e571ae863d22c0ace7f1784e11edd3c130,296,0.6957236842105263,0.6965201465201465,0.695945945945946,0.6959459459459459,"[[107, 41], [49, 99]]","[148, 148]",1.1991940794085714,0.7677136596055515,0.2475756908123597,0.6921424081376079,0.6936372400495799,0.6925675675675675,0.6925675675675675,"[[108, 40], [51, 97]]","[148, 148]",1.6205941429506219,0.727150292184076,0.2721080270441184,0.7023629964806435,0.7036323610346725,0.7027027027027027,0.7027027027027027,"[[109, 39], [49, 99]]","[148, 148]",1.057993119147674,0.7610025566106647,0.22663350298000093,0.6939330461740671,290,0.6309949935189259,0.6310905976398935,0.6310344827586207,0.6310344827586207,"[[90, 55], [52, 93]]","[145, 145]",1.5510491070491776,0.679667063020214,0.3159912879880949,0.6612795575896262,0.663594027557732,0.6620689655172414,0.6620689655172414,"[[103, 42], [56, 89]]","[145, 145]",1.5962229314998393,0.6888941736028538,0.3055902219442817,0.6444851759721015,0.6453877005347594,0.6448275862068966,0.6448275862068965,"[[98, 47], [56, 89]]","[145, 145]",1.200227357803426,0.695552913198573,0.2748785918600068,0.646137275554276,6e-05,communication,47484292,9,15,266.973665644,7474.0,a44472cbb15d9c19cb2933ed47a59a0382766c7a732293bb311f11ca6f788bca
R0011,current_direct_and_host:branch_radon_M32_S64_k3_r16_lr6e-05_seed3417,current_direct_and_host,branch_radon_M32_S64_k3_r16_lr6e-05_seed3417,3417,,"{""M"": 32, ""S"": 64, ""cost"": {""components_per_participant"": {""channel_decode"": 7929856, ""channel_encode"": 7929856, ""forward_projection"": 63438848, ""mask_multiply"": 196608.0, ""mixer"": 805306368, ""residual"": 247808, ""return_projection"": 1997952}, ""convention"": ""dense multiply/add=1 each; padded MAC=2; two eyes; mask amortized over batch16; excludes memory/indexing"", ""flops_per_participant"": 887047296.0, ""h"": 512, ""parameters"": 3145728, ""r"": 16, ""rho"": 0.0625}, ""h"": 512, ""id"": ""radon_M32_S64_k3_r16"", ""k"": 3, ""memberships"": [{""budget_h"": 512, ""kind"": ""equal_parameters""}, {""budget_h"": 512, ""kind"": ""equal_compute"", ""role"": ""radon""}], ""mode"": ""radon"", ""r"": 16, ""rho"": 0.0625}",,direct,single_width,029757dfd7148ff75e362f3b6156402594d243f7740efcba3f91eabe8873e27b,296,0.6819096396561185,0.6836397058823529,0.6824324324324325,0.6824324324324325,"[[95, 53], [41, 107]]","[148, 148]",1.4490329872013947,0.7342037983929874,0.2765941514705146,0.6856349994861077,0.6862274079158087,0.6858108108108107,0.6858108108108109,"[[98, 50], [43, 105]]","[148, 148]",1.768975113455634,0.7175173484295105,0.27962795492358694,0.7195145619983788,0.719845513963161,0.7195945945945946,0.7195945945945946,"[[104, 44], [39, 109]]","[148, 148]",1.1979627988053154,0.7395452885317751,0.24466813703677712,0.6837723195711132,290,0.5714149504195271,0.5730952038023909,0.5724137931034483,0.5724137931034483,"[[76, 69], [55, 90]]","[145, 145]",1.5674864311509404,0.6585017835909631,0.34948720442943243,0.5618136607535901,0.5622139588100686,0.5620689655172413,0.5620689655172414,"[[85, 60], [67, 78]]","[145, 145]",2.0031587421022823,0.6364803804994055,0.3787372563524163,0.575816674792784,0.5758945565283593,0.5758620689655172,0.5758620689655173,"[[85, 60], [63, 82]]","[145, 145]",1.3312362295602618,0.6448038049940547,0.32945883777007634,0.5666143055865586,6e-05,communication,47484292,16,22,567.5549125680009,7474.0,4cc177193310704f97d689558acb8d3a1be17b515ea429a7bf0d7d87d74dc861
